Wavelength	BG1	BG2	BG3	BG4	BG5	BG6	BG7
190.0008	0.000925837	0.00107	0.000680673	0.000734523	0.000432224	0.000891449	0.000753507
190.00167	0.000807765	0.00107	0.000704218	0.000796571	0.000468175	0.000868471	0.000718239
190.00254	0.000699358	0.00107	0.000794176	0.000855471	0.000508441	0.000812584	0.000698703
190.00341	0.000636171	0.00106	0.000883587	0.000899748	0.000533078	0.000738997	0.000724945
190.00428	0.000618348	0.00105	0.000916368	0.000923668	0.000531131	0.000660018	0.000795922
190.00515	0.000632193	0.00104	0.000880555	0.000929967	0.000500883	0.000592593	0.000878229
190.00602	0.000686748	0.00102	0.000800006	0.000925036	0.000441667	0.000555589	0.000927099
190.0069	0.000762935	0.00101	0.000711963	0.000908948	0.000360438	0.000531462	0.000914621
190.00777	0.000832875	0.00101	0.000646572	0.000877442	0.000282059	0.000498961	0.000847325
190.00864	0.000896669	0.00103	0.000615064	0.000834753	0.0002349	0.000479502	0.000760321
190.00951	0.000966594	0.00104	0.000610812	0.000797473	0.000217189	0.00048201	0.000690159
190.01038	0.00104	0.00103	0.000621902	0.000781575	0.000252315	0.000488754	0.000648851
190.01125	0.0011	0.00101	0.000638573	0.000783232	0.000349452	0.000488003	0.000627534
190.01212	0.00111	0.000962103	0.000653358	0.000785581	0.000471216	0.000478775	0.000617671
190.01299	0.00106	0.000916503	0.00066559	0.000785257	0.000588903	0.000517877	0.000614914
190.01386	0.000967574	0.000885632	0.00068585	0.000792902	0.000682085	0.000620757	0.000620009
190.01473	0.000861259	0.000880848	0.00071993	0.000804586	0.000741838	0.000735635	0.000640508
190.0156	0.000764179	0.000901178	0.000751185	0.000799746	0.000766873	0.000809297	0.000676883
190.01647	0.000696181	0.000929597	0.000758042	0.00077299	0.000763745	0.000826672	0.000719992
190.01734	0.000668901	0.000942181	0.000734482	0.000741856	0.00075203	0.000805973	0.000751199
190.01821	0.000680852	0.000926711	0.000689783	0.00073203	0.000753003	0.00077607	0.000750403
190.01908	0.000722765	0.000890687	0.000640412	0.000760856	0.000764515	0.000755473	0.000720328
190.01995	0.000783262	0.000850142	0.000604354	0.000828451	0.000765268	0.000749849	0.000690212
190.02082	0.000846185	0.000818071	0.000596884	0.00091689	0.000743907	0.000762355	0.000683589
190.02169	0.000889367	0.000803788	0.000628281	0.000997217	0.000704827	0.000794492	0.000693816
190.02256	0.000890045	0.000812876	0.000702475	0.00104	0.000662575	0.000838393	0.000700507
190.02343	0.000834417	0.000844556	0.000807531	0.00105	0.000634301	0.000877105	0.00069451
