Wavelength	Xsec_Nan
190.0008	0.000925837
190.00167	0.000807765
190.00254	0.000699358
190.00341	0.000636171
190.00428	0.000618348
190.00515	0.000632193
190.00602	0.000686748
190.0069	0.000762935
190.00777	0.000832875
190.00864	0.000896669
190.00951	0.000966594
190.01038	0.00104
190.01125	0.0011
190.01212	0.00111
190.01299	0.00106
190.01386	0.000967574
190.01473	0.000861259
190.0156	0.000764179
190.01647	0.000696181
190.01734	0.000668901
190.01821	0.000680852
190.01908	0.000722765
190.01995	0.000783262
190.02082	0.000846185
190.02169	0.000889367
190.02256	0.000890045
190.02343	0.000834417
190.0243	0.000727324
190.02517	0.000597365
190.02605	0.000491851
190.02692	0.000456098
190.02779	0.000506033
190.02866	0.000622683
190.02953	0.00076496
190.0304	0.000886702
190.03127	0.000956947
190.03214	0.000972299
190.03301	0.000954898
190.03388	0.000936819
190.03475	0.000937887
190.03562	0.000956185
190.03649	0.000980213
190.03736	0.001
190.03823	0.00103
190.0391	0.00106
190.03998	0.00106
190.04085	0.00105
190.04172	0.00103
190.04259	0.000997876
190.04346	0.000967992
190.04433	0.000948277
190.0452	0.000947942
190.04607	0.000960795
190.04694	0.000970083
190.04781	0.000964412
190.04868	0.000945827
190.04955	0.000925503
190.05042	0.000914739
190.05129	0.000919818
190.05217	0.000941516
190.05304	0.000975147
190.05391	0.00101
190.05478	0.00103
190.05565	0.00103
190.05652	0.00102
190.05739	0.00102
190.05826	0.00103
190.05913	0.00106
190.06	0.00109
190.06087	0.00109
190.06174	0.00106
190.06262	0.000997462
190.06349	0.000909887
190.06436	0.00083025
190.06523	0.000791944
190.0661	0.000811593
190.06697	0.000862614
190.06784	0.000898881
190.06871	0.000905763
190.06958	0.000911926
190.07045	0.000949126
190.07133	0.00101
190.0722	0.00107
190.07307	0.00111
190.07394	0.00112
190.07481	0.00112
190.07568	0.00112
190.07655	0.00112
190.07742	0.00111
190.07829	0.00108
190.07916	0.00102
190.08004	0.000946983
190.08091	0.000886785
190.08178	0.00084827
190.08265	0.000837591
190.08352	0.000851533
190.08439	0.000878632
190.08526	0.000912515
190.08613	0.000958014
190.087	0.00102
190.08788	0.00109
190.08875	0.00114
190.08962	0.00116
190.09049	0.00113
190.09136	0.00108
190.09223	0.00102
190.0931	0.000975878
190.09397	0.00095935
190.09484	0.000971482
190.09572	0.000991191
190.09659	0.000994768
190.09746	0.000971467
190.09833	0.00092744
190.0992	0.000882517
190.10007	0.00085948
190.10094	0.000861688
190.10181	0.000862132
190.10269	0.000828432
190.10356	0.000755724
190.10443	0.00068287
190.1053	0.000668997
190.10617	0.000711695
190.10704	0.000783206
190.10791	0.000861216
190.10878	0.000911796
190.10966	0.000909575
190.11053	0.000859423
190.1114	0.000789248
190.11227	0.000733519
190.11314	0.00071977
190.11401	0.000745888
190.11488	0.000790805
190.11576	0.000838219
190.11663	0.00089121
190.1175	0.000968177
190.11837	0.00107
190.11924	0.00116
190.12011	0.0012
190.12098	0.00117
190.12185	0.00109
190.12273	0.000986203
190.1236	0.000915
190.12447	0.000890772
190.12534	0.000902342
190.12621	0.000916772
190.12708	0.00091106
190.12796	0.00090214
190.12883	0.000919071
190.1297	0.000961916
190.13057	0.001
190.13144	0.001
190.13231	0.000964465
190.13318	0.00090828
190.13406	0.000861264
190.13493	0.000847281
190.1358	0.000880155
190.13667	0.000957028
190.13754	0.00106
190.13841	0.00114
190.13929	0.00119
190.14016	0.00118
190.14103	0.00113
190.1419	0.00107
190.14277	0.00104
190.14364	0.00105
190.14451	0.00109
190.14539	0.00111
190.14626	0.0011
190.14713	0.00105
190.148	0.000976876
190.14887	0.000909389
190.14974	0.000876664
190.15062	0.000886049
190.15149	0.000928097
190.15236	0.000981799
190.15323	0.00102
190.1541	0.00104
190.15498	0.00101
190.15585	0.000954809
190.15672	0.000899898
190.15759	0.000872067
190.15846	0.000884327
190.15933	0.000927722
190.16021	0.000980682
190.16108	0.00102
190.16195	0.00105
190.16282	0.00106
190.16369	0.00105
190.16456	0.00103
190.16544	0.00101
190.16631	0.001
190.16718	0.00103
190.16805	0.00107
190.16892	0.00111
190.1698	0.0011
190.17067	0.00104
190.17154	0.000931
190.17241	0.000821775
190.17328	0.000744236
190.17416	0.000701116
190.17503	0.000662746
190.1759	0.000615389
190.17677	0.000568688
190.17764	0.000542404
190.17852	0.000563239
190.17939	0.000651661
190.18026	0.000796835
190.18113	0.000948786
190.182	0.00105
190.18287	0.00107
190.18375	0.00104
190.18462	0.000980627
190.18549	0.000959982
190.18636	0.000981984
190.18724	0.00102
190.18811	0.00104
190.18898	0.00105
190.18985	0.00106
190.19072	0.00106
190.1916	0.00105
190.19247	0.00104
190.19334	0.00103
190.19421	0.00101
190.19508	0.001
190.19596	0.001
190.19683	0.00103
190.1977	0.00109
190.19857	0.00115
190.19944	0.00116
190.20032	0.00113
190.20119	0.00105
190.20206	0.00096359
190.20293	0.000906384
190.20381	0.000895406
190.20468	0.00093003
190.20555	0.000985926
190.20642	0.00103
190.20729	0.00105
190.20817	0.00104
190.20904	0.00103
190.20991	0.00102
190.21078	0.00104
190.21166	0.00109
190.21253	0.00116
190.2134	0.00121
190.21427	0.00124
190.21514	0.00123
190.21602	0.00121
190.21689	0.00118
190.21776	0.00116
190.21863	0.00113
190.21951	0.00109
190.22038	0.00103
190.22125	0.000983595
190.22212	0.000948741
190.223	0.000932337
190.22387	0.000935446
190.22474	0.000956001
190.22561	0.000986291
190.22648	0.00101
190.22736	0.00101
190.22823	0.000985493
190.2291	0.000949098
190.22997	0.000924248
190.23085	0.000924021
190.23172	0.000948879
190.23259	0.000988405
190.23346	0.00103
190.23434	0.00107
190.23521	0.00109
190.23608	0.00108
190.23695	0.00104
190.23783	0.00099159
190.2387	0.000952339
190.23957	0.000924607
190.24044	0.000915219
190.24132	0.000929522
190.24219	0.000960001
190.24306	0.000986729
190.24393	0.000991242
190.24481	0.0009693
190.24568	0.000933486
190.24655	0.000906008
190.24742	0.000901909
190.2483	0.000915234
190.24917	0.000928572
190.25004	0.000933941
190.25091	0.000939783
190.25179	0.000956405
190.25266	0.000978781
190.25353	0.000988706
190.25441	0.000974236
190.25528	0.000941277
190.25615	0.000903129
190.25702	0.000866019
190.2579	0.000831636
190.25877	0.000810396
190.25964	0.000820561
190.26051	0.000865602
190.26139	0.000930876
190.26226	0.001
190.26313	0.00106
190.26401	0.0011
190.26488	0.00111
190.26575	0.00109
190.26662	0.00105
190.2675	0.000982834
190.26837	0.00091613
190.26924	0.000862822
190.27011	0.00083335
190.27099	0.000834481
190.27186	0.000862114
190.27273	0.000899088
190.27361	0.000927681
190.27448	0.000939932
190.27535	0.000939019
190.27622	0.000936704
190.2771	0.000946817
190.27797	0.000975547
190.27884	0.00101
190.27972	0.00103
190.28059	0.00102
190.28146	0.000996303
190.28233	0.000973448
190.28321	0.000964734
190.28408	0.000968229
190.28495	0.000983133
190.28583	0.00101
190.2867	0.00106
190.28757	0.0011
190.28844	0.00113
190.28932	0.00112
190.29019	0.00108
190.29106	0.00102
190.29194	0.000971715
190.29281	0.000931876
190.29368	0.000899828
190.29456	0.000864122
