Wavelength	Xsec_Ave	STTDEV_Xsec_Ave
190.0008		
190.00167		
190.00254		
190.00341		
190.00428		
190.00515		
190.00602		
190.0069		
190.00777		
190.00864		
190.00951		
190.01038		
190.01125		
190.01212		
190.01299		
190.01386		
190.01473		
190.0156		
190.01647		
190.01734		
190.01821		
190.01908		
190.01995		
190.02082		
190.02169		
190.02256		
190.02343		
190.0243		
190.02517		
190.02605		
190.02692		
190.02779		
190.02866		
190.02953		
190.0304		
190.03127	1.3246402280181339e-17	
190.03214		
190.03301		
190.03388		
190.03475		
190.03562		
190.03649		
190.03736		
190.03823		
190.0391		
190.03998		
190.04085		
190.04172		
190.04259		
190.04346		
190.04433		
190.0452		
190.04607		
190.04694		
190.04781		
190.04868		
190.04955		
190.05042		
190.05129		
190.05217		
190.05304		
190.05391		
190.05478		
190.05565		
190.05652		
190.05739		
190.05826		
190.05913		
190.06		
190.06087		
190.06174		
190.06262		
190.06349		
190.06436		
190.06523		
190.0661		
190.06697		
190.06784		
190.06871		
190.06958		
190.07045		
190.07133		
190.0722		
190.07307		
190.07394		
190.07481		
190.07568		
190.07655		
190.07742		
190.07829		
190.07916		
190.08004		
190.08091		
190.08178		
190.08265		
190.08352		
190.08439		
190.08526		
190.08613		
190.087		
190.08788		
190.08875		
190.08962		
190.09049		
190.09136		
190.09223		
190.0931		
190.09397		
190.09484		
190.09572		
190.09659		
190.09746		
190.09833		
190.0992		
190.10007		
190.10094		
190.10181		
190.10269		
190.10356		
190.10443		
190.1053		
190.10617		
190.10704		
190.10791		
190.10878		
190.10966		
190.11053		
190.1114		
190.11227		
190.11314		
190.11401		
190.11488		
190.11576		
190.11663		
190.1175		
190.11837		
190.11924		
190.12011		
190.12098		
190.12185		
190.12273		
190.1236		
190.12447		
190.12534		
190.12621		
190.12708		
190.12796		
190.12883		
190.1297		
190.13057		
190.13144		
190.13231		
190.13318		
190.13406		
190.13493		
190.1358		
190.13667		
190.13754		
190.13841		
190.13929		
190.14016		
190.14103		
190.1419		
190.14277		
190.14364		
190.14451		
190.14539		
190.14626		
190.14713		
190.148		
190.14887		
190.14974		
190.15062		
190.15149		
190.15236		
190.15323		
190.1541		
190.15498		
190.15585		
190.15672		
190.15759		
190.15846		
190.15933		
190.16021		
190.16108		
190.16195		
190.16282		
190.16369		
190.16456		
190.16544		
190.16631		
190.16718		
190.16805		
190.16892		
190.1698		
190.17067		
190.17154		
190.17241		
190.17328		
190.17416		
190.17503		
190.1759		
190.17677		
190.17764		
190.17852		
190.17939		
190.18026		
190.18113		
190.182		
190.18287		
190.18375		
190.18462		
190.18549		
190.18636		
190.18724		
190.18811		
190.18898		
190.18985		
190.19072		
190.1916		
190.19247		
190.19334		
190.19421		
190.19508		
190.19596		
190.19683		
190.1977		
190.19857		
190.19944		
190.20032		
190.20119		
190.20206		
190.20293		
190.20381		
190.20468		
190.20555		
190.20642		
190.20729		
190.20817		
190.20904		
190.20991		
190.21078		
190.21166		
190.21253		
190.2134		
190.21427		
190.21514		
190.21602		
190.21689		
190.21776		
190.21863	9.81021523188931e-18	
190.21951		
190.22038		
190.22125		
190.22212		
190.223		
190.22387		
190.22474		
190.22561		
190.22648		
190.22736		
190.22823		
190.2291	9.705428307836608e-18	
190.22997	9.064076040352792e-18	
190.23085	8.290969529081644e-18	
190.23172		
190.23259	5.594505528746254e-18	
190.23346		
190.23434		
190.23521		
190.23608		
190.23695		
190.23783		
190.2387		
190.23957		
190.24044		
190.24132		
190.24219		
190.24306		
190.24393		
190.24481		
190.24568		
190.24655		
190.24742		
190.2483		
190.24917		
190.25004		
190.25091		
190.25179		
190.25266		
190.25353		
190.25441		
190.25528		
190.25615		
190.25702		
190.2579		
190.25877		
190.25964		
190.26051		
190.26139		
190.26226		
190.26313		
190.26401		
190.26488		
190.26575		
190.26662		
190.2675		
190.26837		
190.26924		
190.27011		
190.27099		
190.27186		
190.27273		
190.27361		
190.27448		
190.27535		
190.27622		
190.2771		
190.27797		
190.27884		
190.27972		
190.28059		
190.28146		
190.28233		
190.28321		
190.28408		
190.28495		
190.28583		
190.2867		
190.28757		
190.28844		
190.28932		
190.29019		
190.29106		
190.29194		
190.29281		
190.29368		
190.29456		
190.29543		
190.2963		
190.29717		
190.29805		
190.29892		
190.29979		
190.30067		
190.30154		
190.30241		
190.30329		
190.30416		
190.30503		
190.30591		
190.30678		
190.30765		
190.30853		
190.3094		
190.31027		
190.31114		
190.31202		
190.31289		
190.31376		
190.31464		
190.31551		
190.31638		
190.31726		
190.31813		
190.319		
190.31988		
190.32075		
190.32162		
190.3225		
190.32337		
190.32424		
190.32512		
190.32599		
190.32686		
190.32774		
190.32861		
190.32948		
190.33036		
190.33123		
190.3321		
190.33298		
190.33385		
190.33472		
190.3356		
190.33647		
190.33734		
190.33822		
190.33909		
190.33996		
190.34084		
190.34171		
190.34258		
190.34346		
190.34433		
190.3452		
190.34608		
190.34695		
190.34782		
190.3487		
190.34957		
190.35045		
190.35132		
190.35219		
190.35307		
190.35394		
190.35481		
190.35569		
190.35656		
190.35743		
190.35831		
190.35918		
190.36005		
190.36093		
190.3618		
190.36268		
190.36355		
190.36442		
190.3653		
190.36617		
190.36704		
190.36792		
190.36879		
190.36967		
190.37054		
