Wavelength	Xsec_3
190.59973	6.103290892453012e-18
190.6006	5.6616151438430726e-18
192.81742	4.393698050327026e-18
192.821	3.303321228626818e-18
192.8219	3.655949203230007e-18
192.82279	4.174588991700665e-18
192.82369	4.9978364158904196e-18
192.82459	5.9570059287199485e-18
192.82548	6.672772742719044e-18
192.82638	6.952425255198129e-18
192.82907	5.837299318474923e-18
192.82996	5.3901387354442054e-18
192.83086	5.3636220064460565e-18
192.83176	5.550005534125524e-18
192.83265	5.586422169876188e-18
192.83355	5.237785359184272e-18
192.83445	4.7681725333999294e-18
192.83534	4.4729089363079935e-18
192.83624	4.443610177863106e-18
192.83983	5.929765000574102e-18
192.84072	4.831164545299354e-18
193.08219	4.036782684808562e-18
193.2171	7.087923951512909e-18
193.32247	9.12807900112196e-18
193.32337	8.789894398463667e-18
193.37023	5.664052859582478e-18
193.37113	5.5414888311363785e-18
193.37204	6.045016188425929e-18
193.46493	5.449034297955059e-18
193.46584	7.24587939610618e-18
193.48659	5.770642024343617e-18
193.50465	6.7379575119976644e-18
193.50555	7.207167279021109e-18
193.50645	7.474791659718859e-18
193.50735	7.689484381171093e-18
193.50826	7.735642510182018e-18
193.50916	6.8143989285436775e-18
193.51367	4.823754736397028e-18
193.51458	4.701278310640712e-18
193.51548	4.48809718529121e-18
193.66094	5.546999102624281e-18
193.66185	4.627104080041796e-18
193.66275	3.737559026524716e-18
193.66365	3.445864159103779e-18
193.66456	3.863883126303037e-18
193.66546	4.7841512773243705e-18
193.73059	5.393428973762252e-18
193.73149	4.244230172690036e-18
193.803	7.393851878724545e-18
193.82021	3.3706822724302417e-18
193.82111	3.5491198309683e-18
193.82202	3.701962158893212e-18
193.82293	4.061966608374425e-18
193.82383	4.757512348722353e-18
193.82474	5.7274213089556e-18
193.94618	5.304517734978962e-18
193.94709	4.8970946038491705e-18
193.94799	4.0816365564936696e-18
193.9489	3.3917540941120694e-18
194.07322	6.81621068399245e-18
194.07504	8.631849450453765e-18
194.07594	7.964197734540049e-18
194.07685	7.023296218681376e-18
194.07776	6.111607759939312e-18
194.07867	5.254959186719479e-18
194.23408	3.906264501693342e-18
194.23498	4.09592699211239e-18
194.23589	4.069674919387748e-18
194.31415	3.298220611781112e-18
194.31506	3.3577089374493974e-18
194.35967	6.976130159621992e-18
194.36058	7.090169752239656e-18
194.36149	7.8380096009704e-18
194.37151	8.044264757510485e-18
194.37242	8.047835465430473e-18
194.37333	8.216552930677239e-18
194.37425	8.234078424874037e-18
194.37516	7.78540352042393e-18
194.37607	7.645703931749273e-18
194.42344	5.923135475286718e-18
194.4672	5.511047867710643e-18
194.46811	5.828553833756203e-18
194.46902	6.4203161393054514e-18
194.46993	6.958267692454282e-18
194.47267	6.03032864702275e-18
194.47358	5.4263754091374774e-18
194.47449	5.1387361718030294e-18
194.4754	4.996679580633198e-18
194.47631	4.748063815378734e-18
194.47723	4.223096937422887e-18
194.47814	3.654587520213496e-18
194.47996	3.3282238217336895e-18
